Document Date,تاريخ الوثيقة,
Draft Text,نص المسودة,
Envelope No,رقم المغلف,
Event Datetime,تاريخ ووقت الحدث,
Follow-up,متابعة,
Follow-up Actions,إجراءات المتابعة,
Follow-up Date,تاريخ المتابعة,
Is New IP,عنوان IP جديد,
Last Reset Year,سنة آخر إعادة تصفير,
Linked Correspondence,مراسلة مرتبطة,
Linked Delivery Sheet,كشف تسليم مرتبط,
Note to Registrar,ملاحظة لأمين الديوان,
Numbering Rules,قواعد الترقيم,
Overdue Correspondence,مراسلات متأخرة,
Party / Department,الجهة / القسم,
Performed By,نفّذه,
Proof Uploaded On,تاريخ رفع إثبات الاستلام,
QR Scan Policy for Restricted Correspondence,سياسة مسح QR للمراسلات المقيّدة,
Recipient Party,الجهة المستلمة,
Reference No,الرقم المرجعي,
Related Document,المستند المرتبط,
Related Document Type,نوع المستند المرتبط,
Request Date,تاريخ الطلب,
Requested By,مقدّم الطلب,
Reset Yearly,إعادة التصفير سنوياً,
Resulting Correspondence,المراسلة الناتجة,
Signed Sheet Image,صورة الكشف الموقّع,
Source Request,الطلب المصدر,
Subject (English),الموضوع (بالإنجليزية),
Suggested Confidentiality,درجة السرية المقترحة,
Suggested Priority,الأولوية المقترحة,
To Department,إلى القسم,
To User,إلى المستخدم,
Transfer Log,سجل الإحالة,
Approved & Numbered,معتمدة ومرقّمة,
Authorized Only,للمخوّلين فقط,
Barcode Scan,مسح باركود,
Confidential,سري,
Delivered,تم التسليم,
Denied,مرفوض,
Desk,سطح المكتب,
Direct Hand Delivery,تسليم مباشر باليد,
Express Mail,بريد سريع,
Hide Completely,إخفاء كامل,
Highly Confidential,سري للغاية,
Internal Courier,مندوب داخلي,
Needs Revision,يحتاج تعديل,
Normal,عادي,
Pending Delivery,بانتظار التسليم,
QR Scan,مسح رمز الاستجابة السريعة,
Receipt Confirmed,تم تأكيد الاستلام,
Referral,إحالة,
Referred / In Progress,محالة / قيد الإجراء,
Tray Decision,قرار صينية الديوان,
Under Review,قيد المراجعة,
Submit for Review,تقديم للمراجعة,
Send Back for Revision,إعادة للتعديل,
Refer,إحالة,
Reject,رفض,
Return for Review,إعادة للمراجعة,
Mark Completed,تحديد كمكتمل,
Start Review,بدء المراجعة,
Request Revision,طلب تعديل,
Approve & Register,اعتماد وتسجيل,
Resubmit,إعادة تقديم,
Mark Delivered,تحديد كمُسلَّم,
Confirm Receipt,تأكيد الاستلام,
Correspondence Request Workflow,سير عمل طلب المراسلة,
Delivery Sheet Workflow,سير عمل كشف التسليم,
Correspondence Workflow,سير عمل المراسلة,
Delivery Sheet Print,طباعة كشف التسليم,
Envelope Label,ليبل المغلف,
Document Label,ليبل الوثيقة,
Website User — Tracking Portal Only,مستخدم بوابة — للتتبع فقط,
Scan with Camera,مسح بالكاميرا,
Scan a Correspondence,مسح مراسلة,
Search Correspondence,البحث عن مراسلة,
Reference Not Found,لم يتم العثور على الرقم المرجعي,
Restricted content,محتوى مقيّد,
You are not authorized to view this correspondence,غير مخوّل بالاطلاع على هذه المراسلة,
